Date,gold_price
2025-06-24,306.19
2025-06-23,311.08
2025-06-20,310.13
2025-06-18,310.26
2025-06-17,311.94
2025-06-16,311.78
2025-06-13,316.29
2025-06-12,312.2
2025-06-11,308.37
2025-06-10,306.71
2025-06-09,306.62
2025-06-06,305.18
2025-06-05,309.33
2025-06-04,310.9
2025-06-03,308.91
2025-06-02,311.67
2025-05-30,303.6
2025-05-29,305.61
2025-05-28,303.81
2025-05-27,304.5
2025-05-23,309.75
2025-05-22,303.11
2025-05-21,305.82
2025-05-20,303.58
2025-05-19,298.03
2025-05-16,294.24
2025-05-15,297.84
2025-05-14,293.16
2025-05-13,299.46
2025-05-12,298.19
2025-05-09,306.84
2025-05-08,304.63
2025-05-07,310.75
2025-05-06,315.48
2025-05-05,306.88
2025-05-02,297.98
2025-05-01,297.46
2025-04-30,303.77
2025-04-29,306.06
2025-04-28,309.07
2025-04-25,304.73
2025-04-24,308.07
2025-04-23,303.65
2025-04-22,311.11
2025-04-21,315.59
2025-04-17,306.12
2025-04-16,307.47
2025-04-15,297.78
2025-04-14,296.23
2025-04-11,297.93
2025-04-10,292.35
2025-04-09,285.38
2025-04-08,275.2
2025-04-07,273.71
2025-04-04,279.72
2025-04-03,286.42
2025-04-02,288.16
2025-04-01,287.57
2025-03-31,288.14
2025-03-28,284.06
2025-03-27,281.97
2025-03-26,278.24
2025-03-25,278.47
2025-03-24,277.25
2025-03-21,278.49
2025-03-20,280.75
2025-03-19,281.11
2025-03-18,279.96
2025-03-17,276.73
2025-03-14,275.24
2025-03-13,275.13
2025-03-12,270.33
2025-03-11,269.16
2025-03-10,266.04
2025-03-07,268.39
2025-03-06,268.25
2025-03-05,269.62
2025-03-04,269.06
2025-03-03,266.74
2025-02-28,263.27
2025-02-27,264.93
2025-02-26,269.03
2025-02-25,268.62
2025-02-24,272.21
2025-02-21,270.74
2025-02-20,270.99
2025-02-19,270.85
2025-02-18,270.7
2025-02-14,266.29
2025-02-13,270.31
2025-02-12,267.67
2025-02-11,267.39
2025-02-10,268.37
2025-02-07,263.9
2025-02-06,263.43
2025-02-05,264.13
2025-02-04,262.5
2025-02-03,259.94
2025-01-31,258.56
2025-01-30,258.05
2025-01-29,254.2
2025-01-28,255.18
2025-01-27,252.99
2025-01-24,255.65
2025-01-23,254.07
2025-01-22,254.43
2025-01-21,253.13
2025-01-17,249.27
2025-01-16,250.6
2025-01-15,248.88
2025-01-14,247.03
2025-01-13,245.74
2025-01-10,248.21
2025-01-08,245.86
2025-01-07,244.56
2025-01-06,243.19
2025-01-03,243.49
2025-01-02,245.42
2024-12-31,242.13
2024-12-30,240.63
2024-12-27,241.4
2024-12-26,243.07
2024-12-24,241.44
2024-12-23,240.96
2024-12-20,242.1
2024-12-19,239.6
2024-12-18,239.26
2024-12-17,243.94
2024-12-16,244.88
2024-12-13,244.29
2024-12-12,247.28
2024-12-11,250.96
2024-12-10,248.59
2024-12-09,245.36
2024-12-06,242.95
2024-12-05,242.86
2024-12-04,244.67
2024-12-03,243.93
2024-12-02,243.44
2024-11-29,245.59
2024-11-27,243.49
2024-11-26,242.95
2024-11-25,242.48
2024-11-22,249.84
2024-11-21,246.66
2024-11-20,244.62
2024-11-19,243.25
2024-11-18,241.09
2024-11-15,236.59
2024-11-14,237.01
2024-11-13,237.63
2024-11-12,240.05
2024-11-11,242.14
2024-11-08,247.96
2024-11-07,249.65
2024-11-06,245.7
2024-11-05,253.4
2024-11-04,252.83
2024-11-01,252.47
2024-10-31,253.51
2024-10-30,257.5
2024-10-29,256.09
2024-10-28,253.33
2024-10-25,253.32
2024-10-24,252.8
2024-10-23,250.87
2024-10-22,253.93
2024-10-21,251.22
2024-10-18,251.27
2024-10-17,248.63
2024-10-16,247.15
2024-10-15,245.92
2024-10-14,245.07
2024-10-11,245.47
2024-10-10,242.82
2024-10-09,241.05
2024-10-08,242.37
2024-10-07,244.17
2024-10-04,245.0
2024-10-03,245.49
2024-10-02,245.66
2024-10-01,245.61
2024-09-30,243.06
2024-09-27,245.02
2024-09-26,246.98
2024-09-25,245.73
2024-09-24,246.07
2024-09-23,242.68
2024-09-20,242.21
2024-09-19,239.17
2024-09-18,235.51
2024-09-17,237.34
2024-09-16,238.66
2024-09-13,238.68
2024-09-12,236.33
2024-09-11,232.25
2024-09-10,232.62
2024-09-09,231.6
2024-09-06,230.63
2024-09-05,232.35
2024-09-04,230.43
2024-09-03,230.29
2024-08-30,231.29
2024-08-29,232.95
2024-08-28,231.75
2024-08-27,233.39
2024-08-26,232.76
2024-08-23,232.02
2024-08-22,229.37
2024-08-21,232.15
2024-08-20,232.46
2024-08-19,231.61
2024-08-16,231.99
2024-08-15,226.91
2024-08-14,226.2
2024-08-13,228.06
2024-08-12,228.41
2024-08-09,224.56
2024-08-08,224.01
2024-08-07,220.55
2024-08-06,220.7
2024-08-05,222.48
2024-08-02,225.34
2024-08-01,225.77
2024-07-31,226.55
2024-07-30,222.52
2024-07-29,220.32
2024-07-26,220.63
2024-07-25,218.33
2024-07-24,221.8
2024-07-23,222.58
2024-07-22,221.8
2024-07-19,221.73
2024-07-18,225.78
2024-07-17,227.23
2024-07-16,228.29
2024-07-15,223.83
2024-07-12,223.11
2024-07-11,223.25
2024-07-10,219.36
2024-07-09,218.56
2024-07-08,218.19
2024-07-05,220.93
2024-07-03,217.99
2024-07-02,215.56
2024-07-01,215.57
2024-06-28,215.01
2024-06-27,214.99
2024-06-26,212.58
2024-06-25,214.56
2024-06-24,215.63
2024-06-21,214.78
2024-06-20,218.16
2024-06-18,215.47
2024-06-17,214.61
2024-06-14,215.73
2024-06-13,212.97
2024-06-12,214.72
2024-06-11,214.15
2024-06-10,213.54
2024-06-07,211.6
2024-06-06,219.43
2024-06-05,217.82
2024-06-04,215.27
2024-06-03,217.22
2024-05-31,215.3
2024-05-30,216.57
2024-05-29,216.16
2024-05-28,218.19
2024-05-24,215.92
2024-05-23,215.72
2024-05-22,220.11
2024-05-21,224.23
2024-05-20,224.56
2024-05-17,223.66
2024-05-16,220.03
2024-05-15,220.89
2024-05-14,218.09
2024-05-13,216.26
2024-05-10,218.71
2024-05-09,216.95
2024-05-08,213.58
2024-05-07,214.21
2024-05-06,215.2
2024-05-03,212.96
2024-05-02,213.13
2024-05-01,213.79
2024-04-30,211.87
2024-04-29,216.18
2024-04-26,216.62
2024-04-25,215.92
2024-04-24,214.64
2024-04-23,215.04
2024-04-22,215.57
2024-04-19,221.05
2024-04-18,220.34
2024-04-17,219.59
2024-04-16,221.22
2024-04-15,220.95
2024-04-12,216.89
2024-04-11,219.8
2024-04-10,215.61
2024-04-09,217.67
2024-04-08,216.48
2024-04-05,215.14
2024-04-04,211.52
2024-04-03,212.74
2024-04-02,210.89
2024-04-01,207.82
2024-03-28,205.72
2024-03-27,203.1
2024-03-26,201.64
2024-03-25,200.99
2024-03-22,200.35
2024-03-21,201.97
2024-03-20,202.18
2024-03-19,199.8
2024-03-18,200.03
2024-03-15,199.71
2024-03-14,200.35
2024-03-13,201.19
2024-03-12,199.79
2024-03-11,202.0
2024-03-08,201.63
2024-03-07,199.94
2024-03-06,198.81
2024-03-05,197.19
2024-03-04,196.01
2024-03-01,192.89
2024-02-29,189.31
2024-02-28,188.34
2024-02-27,188.0
2024-02-26,188.2
2024-02-23,188.62
2024-02-22,187.56
2024-02-21,187.48
2024-02-20,187.47
2024-02-16,186.34
2024-02-15,185.66
2024-02-14,184.42
2024-02-13,184.53
2024-02-12,187.11
2024-02-09,187.6
2024-02-08,188.33
2024-02-07,188.5
2024-02-06,188.55
2024-02-05,187.57
2024-02-02,188.61
2024-02-01,190.41
2024-01-31,188.45
2024-01-30,188.59
2024-01-29,188.33
2024-01-26,187.01
2024-01-25,187.14
2024-01-24,186.4
2024-01-23,187.95
2024-01-22,187.22
2024-01-19,187.93
2024-01-18,187.37
2024-01-17,185.84
2024-01-16,187.91
2024-01-12,189.71
2024-01-11,187.87
2024-01-10,187.5
2024-01-09,187.93
2024-01-08,187.87
2024-01-05,189.35
2024-01-04,189.32
2024-01-03,189.13
2024-01-02,190.72
